CourseID,Academic Year,Term,FacultyID,Overall_course_rating,Overall_Instructor_rating,Most_and_least_valuable_sessions_and_topics,Course_feedback,Instructor_Feedback
Wag_Crs0062Sec001,2023,3,FAC_0033,5,5,Every assignment has been valuable and I've learned a lot. We also have excellent class discussions.,I recommend that the curriculum from this course become part of the core curriculum for the School's students.,Professor  has been excellent. I really enjoyed this class discussions and assignments.
Wag_Crs0023Sec001,2023,3,FAC_0021,5,5,All were extraordinarily valuable. I wish we delved more into transportation. ,Fantastic course!!! Super interesting and precient. ,I loved this class. Have a great summer!
Wag_Crs0023Sec001,2023,3,FAC_0021,5,5,I think the most valuable thing we did was the research designs. ,I think it was a really great course and really appreciated it. Thank you for a great semester.,Thank you very much. 
Wag_Crs0023Sec001,2023,3,FAC_0021,4,5,I found topics on Market failures and redistribution policies most valuable. ,No,Thank you!
Wag_Crs0023Sec001,2023,3,FAC_0021,5,5,I liked nearly all the topics we covered. The instructor was always willing to give real life examples which made the class more enjoyable. ,It was an excellent course,She was excellent. 
Wag_Crs0023Sec001,2023,3,FAC_0021,5,5,I found all of the topics which concerned economic policy to be valuable as we specifically looked at real-world examples and every topic felt important.  There could have been less time spent on review topics from microeconomics at the beginning of the course,I really enjoyed the course and thought it was well-organized and well taught!,D/A
Wag_Crs0019Sec002,2023,3,FAC_0016,4,4,What I found most valuable is learning the ability to be able to deal with mass data that I wouldn't be able to do on something like Excel. I didn't really feel anything was least valuable but I would say it was extremely challenging.,I took intro to python class before and had some fundamental knowledge of python but it was still extremely difficult. I think I learned A LOT from the class but I would say that the class covered the topics in a short amount of time. I know this class was also for people without coding skill but I feel like it might be nice to emphasize that having some skills in coding is recommended (I feel like I would not have survived without my past coding class experience).,Thank you!
Wag_Crs0019Sec002,2023,3,FAC_0016,1,2,The fact that the instructor told us to use another Python course online in conjunction with the course we are paying for at the School.,I am extremely disappointed in this course.,The structure for this class is truly horrible. Very little applicable instruction on Python!!! We went STRAIGHT to Pandas and then spent so much time discussing non-coding concepts. I am so disappointed.
Wag_Crs0019Sec002,2023,3,FAC_0016,4,4,More practice time in class would be helpful. One on one session would also be valuable in class,First class can be better utilized. Too much time spent on talking about syllabus and ideas about coding which wasn t super useful. ,The instructor tried to engage students and I appreciate his effort 
Wag_Crs0010Sec001,2023,3,FAC_0008,4,5,I love mini-cases to trigger our ideas and relate to our HR topics.,I love how inclusive the class is. Our voices are valued.,Glad to learn with you!
Wag_Crs0020Sec001,2023,3,FAC_0008,5,4,"Most valuable- learning about the qualitative methods- from beginning to end 
Leat Valuable- Excessive reading (can minimize) ",Great course and professor.  ,D/A
Wag_Crs0020Sec001,2023,3,FAC_0008,5,5,All of the different topics were very valuable and helped piece together the process of a qualitative research study. I wish we had included more about data analysis using a software to see ways that we can review data to discover findings. ,Course was definitely a sprint but I really enjoyed every part of it. ,You are an amazing professor! 
Wag_Crs0024Sec001,2023,3,FAC_0024,5,5,I like the last sessions of the course in which he focussed on personal growth and restoration techniques. ,I feel like some readings were very pretty extensive for a 2-credit class. ,D/A
Wag_Crs0024Sec001,2023,3,FAC_0024,5,4,every class session where we shared input was valuable,it's a great way to open your mind up to new perspectives,D/A
Wag_Crs0024Sec001,2023,3,FAC_0024,4,5,Inner peace and community building were the most valuable.,Structure felt forced in the first few weeks - participation led course made it feel awkward sometimes. Midterm grades came out quite late.,D/A
Wag_Crs0013Sec001,2023,3,FAC_0012,4,5,The specific topics in the later half of the class were valuable. The historical background on the field was a lot to take in at a rapid pace. ,Getting through the required reading is a lot to handle with balancing other classes even before the optional readings. ,D/A
Wag_Crs0013Sec001,2023,3,FAC_0012,5,5,Everything was valuable,nope,D/A
Wag_Crs0028Sec002,2023,3,FAC_0017,2,2,"Most valuable: Zoning in NYC 

Less Valuable: Environment",The structure of the course was not well designed. As students we were able to see how the professor and TA were constructing the course during the semester. THe structure for the final project was not clear until a few weeks before the end of the semester. The topics touch in class are important but were basic. The course is too concentrated in the US and there were few if not international cases.,No
Wag_Crs0028Sec002,2023,3,FAC_0017,3,3,wish we talked more about sustainability and environmental planning ,"the structure was very hard to follow
wish we had more flexibility in the case studies
met with TAs about the content of my case study and still got points taken off even after addressing comments",D/A
Wag_Crs0028Sec002,2023,3,FAC_0017,2,3,I feel like we did not need to have a whole lecture on manufacturing and another on commercial. Perhaps they could be lumped into zoning. That could make zoning a two week topic if necessary but it felt unnecessary especially considering there are many other topics that would be much more relevant such as climate change and issues surrounding that which we could have addressed but didn't. ,It was very difficult to know what to do for this class. The case study documents did not provide clear instructions and the feedback on those case studies was even more unclear and did not provide any way to meaningfully improve for the next one. The course felt poorly organized and taught in a way that did not seem helpful to understanding the methods and practice of planning. Perhaps this course should have been taught by an individual or individuals currently working in the field of planning. It could also be led by the professor but maybe do it more as a colloquium with experts in each topic coming in each week to discuss how those topics play out in real life. ,D/A
Wag_Crs0010Sec001,2023,3,FAC_0008,5,5,the learning pathways grid!,i wish brightspace had been a bit more organized. i also liked the no computers rule. ,The Professor is AWESOME. Loved her teaching style so much. She was encouraging and inspiring. 
Wag_Crs0011Sec001,2023,3,FAC_0009,4,5,I love the topics about the labour market supply.,I think it combined the public policy topic with economic theories tightly. It is practical. ,D/A
Wag_Crs0011Sec001,2023,3,FAC_0009,5,5,the tax and cash of real New York,more group work is needed,D/A
Wag_Crs0012Sec001,2023,3,FAC_0011,5,5,I found the section on prototyping the most helpful. No section in the class felt unhelpful. ,It's a great class and I hope that more students take it. ,The Professor was outstanding. She is surely to be one of the best professors I've had at the school.
Wag_Crs0012Sec001,2023,3,FAC_0011,5,5,lectures and projects ,such a good class,The Professor is super helpful and inclusive. An excellent lecturer and presenter. 
Wag_Crs0012Sec001,2023,3,FAC_0011,5,5,Clarity around the design thinking process.,The amount of weight given to the team process is daunting because it is very dependent on optimal team dynamics.,It felt like some teams were stronger than others. Some way to ensure balance would be great.
Wag_Crs0026Sec001,2023,3,FAC_0022,4,5,I thought all the topics were valuable and it was organized in such a way that they were able to blend in which each other.,I liked how organized the syllabus and readings were.,D/A
Wag_Crs0024Sec001,2023,3,FAC_0022,5,5,I like the last sessions of the course in which he focussed on personal growth and restoration techniques. ,I feel like some readings were very pretty extensive for a 2-credit class. ,D/A
Wag_Crs0024Sec001,2023,3,FAC_0022,5,4,every class session where we shared input was valuable,it's a great way to open your mind up to new perspectives,D/A
Wag_Crs0024Sec001,2023,3,FAC_0022,4,5,Inner peace and community building were the most valuable.,Structure felt forced in the first few weeks - participation led course made it feel awkward sometimes. Midterm grades came out quite late.,D/A
Wag_Crs0021Sec001,2023,3,FAC_0019,5,5,All the class sessions were relatively similar in value as they all covered important topics both local and national.,,Professor is a great and well-balanced instructor. I thoroughly enjoyed the class and talking to him outside of it. He has great perspectives on the political system and its machinations.
Wag_Crs0021Sec001,2023,3,FAC_0019,5,5,I thought that we discussed a good variety of topics that adequately addressed the major issues that are being discussed in modern politics.,I found the readings although slightly time consuming very helpful when it came to understanding the various political perspectives and challenges surrounding a particular issue. The lectures were engaging and the guest speakers were very interesting and knowledgeable.,Professor is very knowledgeable about the inner working of politics and the various political challenges associated with many issues. He was very accessible and helpful in his office hours. He was able to prompt meaningful discussions with the class and his lectures were engaging and interesting.
Wag_Crs0021Sec001,2023,3,FAC_0019,5,5,,,Professor sometimes didn't establish clear guidelines of what he was looking for in essays.
Wag_Crs0021Sec001,2023,3,FAC_0019,5,5,The class on the Three Amigos & climate policy!! I had no idea Lindsey Graham even admitted that the climate crisis exists. ,I wish the lectures provided a more analytical aspect to the reading. Often felt I was just going through summaries of all the assigned readings. ,I suggest somehow enlisting more discussion within the lectures. I often felt I was just hearing summaries of the topics we read about. 
Wag_Crs0025Sec001,2023,3,FAC_0023,5,5,our discussion about privilege vs. power. ,I really enjoyed it and learned alot.,Thank you for being you.
Wag_Crs0025Sec001,2023,3,FAC_0023,5,5,I liked that we jumped right into the stories at the beginning of the semester- it fostered authenticity and creativity  ,Loved it! The professors are amazing amazing people. ,D/A
Wag_Crs0025Sec001,2023,3,FAC_0023,5,5,I found the classes learning about the importance of stories to be valuable.,I enjoyed the course.,Thank you for a nice semester.
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,The lessons on contentment and appreciation. ,I think there should be a better way to do the participation and communication with the tas. ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,How to be happy and how to be a good leader. ,great course very helpful,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,Meditation was most,No,No
Wag_Crs0027Sec001,2023,3,FAC_0023,4,4,I loved the beginning of class meditation and the sound bath was absolutely magical. These small moments of self-care were a game changer in my schedule.,No,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,All the self reflection and emphasis on meaning ,It's a great course! I'm very glad I picked it,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,"most valuable: Anxiety
least valuable:  Explore myself and goals
suggest: include more meditation time in class",please have better attendance taking method,no
Wag_Crs0027Sec001,2023,3,FAC_0023,4,5,I liked learning about how to live my life to the fullest and better understand myself,no,NA
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,Most Valuable: meditation,Very enjoyable ,Loved the lectures
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,I thought all of the topics were extremely valuable - I really liked how the class was outlined and how clear-cut everything was. One thing I wish was touched on more was intersectional identities and how different mechanisms mentioned in the readings might overlook certain aspects of one s identities/experiences.,This course was very fun. I would definitely recommend!,N/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,I like success and friendship the most,It is a great course that help you to relax in the competitive environment and redefine how a meaningful life should be,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,Play is the topic thats the most valuable for me; other topics are also valuable ,the course is great,All good! Thank you for a great semester
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,Meditation and learning about self-authenticity was the most valuable. It really helped me to reflect and understand myself better as well as to give me chance and reasons to be more loving toward myself.  ,I love the way it is structured now!,Professor is inspiring speaker!
Wag_Crs0027Sec001,2023,3,FAC_0023,4,4,I enjoyed learning about positive psychology and how I can improve my mood and the way I go about life. I found some of the content a little repetitive.,No,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,3,3,I really liked the class sessions but at the same time I felt they were very superficial. I would appreciate deeper understanding of self through integration paper. ,I wish the class is smaller so that the students could actually share what they think. Just having a conversation with the person next to it is not enough for this kind of course objective. ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,The lessons on people in communities who live well into old age weren't that inspiring or interesting to me.,I love the professors and the way they speak on wellness and self improvement ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0023,5,5,I liked all the classes but specifically ones where we get to journal. The journal prompts and talking to my partner really help me put the lessons into context in my own life. I feel like the parts where we tie it to leadership ironically aren't as meaningful for me.,I know this is a class about leadership but it kind of feels like an afterthought but I kind of like it more that way.,D/A
Wag_Crs0029Sec001,2023,3,FAC_0018,4,4,"Most valuable: Zoning and taking

Less valuable: N/A",The course is well designed but does not consider that there are international student that do not have basic knowledge of the Judicial/Legal US System,Sometimes there was too many things in just one class that I felt he was always in a hurry
Wag_Crs0029Sec001,2023,3,FAC_0018,5,5,Every class from the first half where we read cases and learned about the evolution of the legal rationale was super interesting and valuable. Some of the recent classes have felt less focused. ,It's hard to know how I'll feel till I take the final.,I would have liked feedback on my memo. But I really liked the class and the professor was really good at teaching it. I didn't love how much time we spent discussing current events at the start   but I understand why we did.
Wag_Crs0029Sec001,2023,3,FAC_0018,4,4,"- Race Land Use
- Zoning and the Comprehensive Plan
- Land Use Procedure
- Environmental Review ",None,None 
Wag_Crs0029Sec001,2023,3,FAC_0018,5,5,All topics I found to be very valuable to understanding the relevant coursework and subject matter. ,Best course I've taken at the school!,D/A
Wag_Crs0015Sec001,2023,3,FAC_0013,4,5,I suggest looking at the syllabus for Introduction to Public Policy. There was a little repetition between the two courses. Might be a good opportunity to build on those topics as opposed to repeat.,Helpful frameworks to approach political topics.,Thank you!
Wag_Crs0015Sec001,2023,3,FAC_0013,4,4,"Most valuable - learning about education policy and the professors work and research 

Least valuable - unfortunately i didn't find the insight from Mayor De Blasio to be particularly insightful - his approach towards policy contradicted the course and dismissed a lot of important theory ",Overall enjoyed the course! There were dominant voices in the class that I wish hadn't been given as much time to speak - at some points it felt like I was hearing from the same 4 students over and over again. I think the class would have benefitted from some more facilitation and not reinforcing the same voices. I think Professor is great and did a great job with the course and bringing in new and interesting perspectives and ideas. ,D/A
Wag_Crs0015Sec001,2023,3,FAC_0013,5,5,I found the classes on power and protests to be most valuable. I did not find the classes on theory too valuable. ,It was very thoughtful to have an introduction to US policy and government for those who did not have a background in it or were not from the US.,Thank you!
Wag_Crs0003Sec001,2023,3,FAC_0003,5,5,All of the topics were valuable ,Prof. is awesome! She frequently asked students do we have questions. She made sure we understood the lecture material and took the time to explain it if we did not. ,Great class! Great professor! Only thing I wished we had examples of the final assignment memo. 
Wag_Crs0003Sec001,2023,3,FAC_0003,4,5, I like topics that I could relate to real world examples,It was a topic I wasn't necessarily interested in but the professor really made the material interesting. ,Great professor. Taught material well and always asked and answered all questions
Wag_Crs0003Sec002,2023,3,FAC_0003,5,5,,Every class packs on many information without a small break in between which can be very very intensive. The format of exams sometimes do not seem to align exactly with the homework which can make examination preparation a bit daunting. ,Thank you Professor for your wonderful teaching!
Wag_Crs0003Sec002,2023,3,FAC_0003,4,5,I much preferred the 2nd half of the semester.,Excel formulas should be provided way earlier in the course.  The ability to accurately compute math equations the way a calculator or computer can is not necessary to understand the concepts.,Thanks for introducing me to the fascinating and important world of statistics. 
Wag_Crs0003Sec002,2023,3,FAC_0003,4,4,I found all the class sessions to be valuable,I wish the homework were more challenging to better prepare us for the midterm and final. I think having the challenge questions as homework would be really helpful to students.  There were also some times when the lecture felt rushed and I wished it slowed down a little to retain the material better. ,D/A
Wag_Crs0022Sec001,2023,3,FAC_0007,4,5,Guest speakers were very informative,Very great Professor,She da besttttt
Wag_Crs0022Sec001,2023,3,FAC_0007,4,4,I really enjoyed the classes on diversity,Would've appreciated more clarity on the business concepts covered in the course,Very positive and kind
Wag_Crs0022Sec001,2023,3,FAC_0007,5,5,I found the managing team's sessions the most valuable. I would suggest a simulation on how to cut people from teams.,Great course.,Great teaching and very interesting guest speakers. Definitely keep the guest speakers. 
Wag_Crs0004Sec001,2023,3,FAC_0004,4,5,negotiation ,I like the case study and group work,D/A
Wag_Crs0023Sec002,2023,3,FAC_0020,5,5,I found the synthesis of quantitative and qualitative work very helpful and engaging.,Great professor!!,D/A
Wag_Crs0017Sec001,2023,3,FAC_0014,5,5,I was happy to learn about assumptions and risks because it's important to think about in project management but rarely discussed. I have participated in a lot of different projects and have had a variety of different challenges come up so having a contingency plan is important and necessary. Risks are always present and being aware and having a plan in place for them are really important tools for project management. I think one thing that I would love to have more time on is also the evaluation process or having the professor suggest students take an evaluation class. I took one in the past and it was eye-opening to learn about the process and how it can help make your projects better as well. ,I enjoyed the class and was able to learn a lot about the dynamics of project management. I really liked the movie clip videos that showed project management in a way that wasn't only for work purposes. It made it really easy to retain information. I especially enjoyed the panel. They were diverse and provided lots of insight into how project management is used in other areas. Overall it was a really great class and I  will highly recommend it to others. ,D/A
Wag_Crs0017Sec001,2023,3,FAC_0014,4,4,How Project Managers can promote diversity in terms of tasks and assignments. I think it is important to think about how a Project Manager can break out of the systems that allow those to not be seen in the spotlight. ,The class structure was engaging with lecture and team based work. The in class work also helped inform the homework. ,D/A
Wag_Crs0017Sec001,2023,4,FAC_0014,5,skip,"MOST VALUABLE: communication and clarifications on concepts within project management
LEAST VALUABLE: don't think there was anything not/least valuable ",I want to show my appreciation for such a succint and rich teachings and readings  Professor offered us! I am very satisfied with the course experience and feasibility. ,
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,"most valuable: Anxiety
least valuable:  Explore myself and goals
suggest: include more meditation time in class",please have better attendance taking method,no
Wag_Crs0027Sec001,2023,3,FAC_0025,5,3,How to be happy and how to be a good leader. ,great course very helpful,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,The lessons on contentment and appreciation. ,I think there should be a better way to do the participation and communication with the tas. ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,4,4,I liked learning about how to live my life to the fullest and better understand myself,no,NA
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,Most Valuable: meditation,Very enjoyable ,Meditations were awesome
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,I thought all of the topics were extremely valuable - I really liked how the class was outlined and how clear-cut everything was. One thing I wish was touched on more was intersectional identities and how different mechanisms mentioned in the readings might overlook certain aspects of one s identities/experiences.,This course was very fun. I would definitely recommend!,N/An 
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,I like success and friendship the most,It is a great course that help you to relax in the competitive environment and redefine how a meaningful life should be,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,Meditation and learning about self-authenticity was the most valuable. It really helped me to reflect and understand myself better as well as to give me chance and reasons to be more loving toward myself.  ,I love the way it is structured now!,I was able to feel that professor was whole-heartedly caring students and wish for the best of students. 
Wag_Crs0027Sec001,2023,3,FAC_0025,3,3,I really liked the class sessions but at the same time I felt they were very superficial. I would appreciate deeper understanding of self through integration paper. ,I wish the class is smaller so that the students could actually share what they think. Just having a conversation with the person next to it is not enough for this kind of course objective. ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,The lessons on people in communities who live well into old age weren't that inspiring or interesting to me.,I love the professors and the way they speak on wellness and self improvement ,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,I liked all the classes but specifically ones where we get to journal. The journal prompts and talking to my partner really help me put the lessons into context in my own life. I feel like the parts where we tie it to leadership ironically aren't as meaningful for me.,I know this is a class about leadership but it kind of feels like an afterthought but I kind of like it more that way.,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,Meditation was most,No,No
Wag_Crs0027Sec001,2023,3,FAC_0025,4,4,I loved the beginning of class meditation and the sound bath was absolutely magical. These small moments of self-care were a game changer in my schedule.,No,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,Play is the topic thats the most valuable for me; other topics are also valuable ,the course is great,All good! Thank you for a great semester
Wag_Crs0027Sec001,2023,3,FAC_0025,4,4,I enjoyed learning about positive psychology and how I can improve my mood and the way I go about life. I found some of the content a little repetitive.,No,D/A
Wag_Crs0027Sec001,2023,3,FAC_0025,5,5,All the self reflection and emphasis on meaning ,It's a great course! I'm very glad I picked it,D/A
Wag_Crs0004Sec001,2023,3,FAC_0004,4,5,It would be great to include topics like marketing and work-life balance.,The content is suitable for people with work experience. Need more guidance in memo writing.,Professor  is a super responsible teacher.
Wag_Crs0002Sec001,2023,3,FAC_0002,4,5,More classes on project management,The course should start in the Spring so there is more available time to travel. ,Instructor was really good!
Wag_Crs0013Sec001,2023,3,FAC_0002,4,5,The specific topics in the later half of the class were valuable. The historical background on the field was a lot to take in at a rapid pace. ,Getting through the required reading is a lot to handle with balancing other classes even before the optional readings. ,D/A
Wag_Crs0013Sec001,2023,3,FAC_0002,5,5,Everything was valuable,nope,D/A
Wag_Crs0030Sec001,2023,3,FAC_0002,5,5,I loved learning about the mechanisms by which government and funding entities prioritize projects; I think every part has been valuable I think the last piece of financing has been quite extensive for trying to cover it in this class. ,Loved having two professors comoderating and sharing their personal and professional experiences and slight differences in institutional knowledge to practical knowledge ,It was very kind and thoughtful to have additional virtual meetings for assignment help. 
Wag_Crs0005Sec003,2023,3,FAC_0005,5,5,The broader context of how to understand the complete financial statement of an organization was extremely helpful. ,I also appreciated that the expectations for this introductory class was that we not be accountants but rather understand financial statements when we see them in the real world.,D/A
Wag_Crs0005Sec003,2023,3,FAC_0005,5,5,I found most of the topics to be very valuable.,I wish more time had been spent on Government Budgeting - particularly how to approach the transaction worksheets  in lecture.,Thanks for a great semester!
Wag_Crs0005Sec001,2023,3,FAC_0005,5,5,all of it was valuable,the second half of the course really picked up and got quite confusing.. unsure if there is a better way to introduce these new topics to connect them to the foundations we had set from the first part of the class,The Professor made financial management fun and interesting!
Wag_Crs0005Sec001,2023,3,FAC_0005,4,5,I found the second half of the semester to be more challenging and the content less engaging  ,The information is very valuable ,The Professor was very engaging with her students and very invested in their learning- I really appreciated taking this course with her.
Wag_Crs0005Sec001,2023,3,FAC_0005,5,5,I think every class and topic is valuable.,I really enjoy the course.,The Professor knows course material well and very helpful.
